academicyear,instname,city,state,zip,sector_revised,carnegie2000,fte_count,grant01,tuitionfee02_tf,grad_rate_150_p4yr
2003,Inter American University of Puerto Rico-Guayama,Guayama,PR,00785,Private Not-For-Profit,32,1885,6407991,3416,20.1612903226
2003,Inter American University of Puerto Rico-Bayamon,Bayamon,PR,00957,Private Not-For-Profit,55,4754,15918388,3416,18.7866927593
2003,University of Puerto Rico-Carolina,Carolina,PR,00984-480,Public,33,21730,48442968,2742,38.1922196796
2003,University of Puerto Rico-Cayey University College,Cayey,PR,00736,Public,31,40331,74509504,1470,47.972972973
2003,Universidad Del Este,Carolina,PR,00985-098,Private Not-For-Profit,33,7664,28813916,3722,19.0740740741
2003,University of Sacred Heart,Santurce,PR,00907,Private Not-For-Profit,22,4141,10786714,4620,28.8300835655
2003,Universidad Politecnica de Puerto Rico,Hato Rey,PR,00919,Private Not-For-Profit,54,3931,7921730,5325,8.93760539629
2003,Universidad Del Turabo,Gurabo,PR,00778-303,Private Not-For-Profit,21,9373,113180120,3722,13.6633663366
2003,University of the Virgin Islands,Charlotte Amalie,VI,00802-999,Public,22,1746,2733675,2986,35.4260089686
2003,Stanford University,Stanford,CA,94305,Private Not-For-Profit,15,14827,2441854,27443,94.1105039466
2003,Purdue University-Main Campus,West Lafayette,IN,47907-204,Public,15,36992,13128202,5580,67.1691003297
2003,Electronic Data Processing College of Puerto Rico Inc,San Juan,PR,00919-230,Private For-Profit,33,1572,2702268,4000,22.641509434
2003,Florida Metropolitan University-Brandon,Tampa,FL,33619-135,Private For-Profit,22,917,3309371,7998,20.0
2003,Pennsylvania College of Technology,Williamsport,PA,17701-579,Public,33,5318,4817112,8400,48.4848484848
2003,California State University-San Marcos,San Marcos,CA,92096-000,Public,21,5983,5528078,1796,42.671009772
2003,International College,Naples,FL,34119-793,Private Not-For-Profit,32,1104,1613085,8050,33.3333333333
2003,University of Phoenix-Online Campus,Phoenix,AZ,85034-720,Private For-Profit,-3,48085,19317032,12300,4.71869328494
2003,University of Phoenix-Utah Campus,Salt Lake City,UT,84123-461,Private For-Profit,-3,3128,1200980,8640,9.44881889764
2003,University of Phoenix-Denver Campus,Lone Tree,CO,80124-545,Private For-Profit,-3,4039,1019195,8250,6.44171779141
2003,University of Phoenix-New Mexico Campus,Albuquerque,NM,87109-464,Private For-Profit,-3,3445,3238334,8190,3.10559006211
2003,University of Phoenix-Southern California Campus,Costa Mesa,CA,92626-307,Private For-Profit,-3,25386,11498938,11100,5.01453488372
2003,California State University-Monterey Bay,Seaside,CA,93955-800,Public,31,3236,3755605,1855,30.3370786517
2003,University of Phoenix-Las Vegas Campus,Las Vegas,NV,89120-433,Private For-Profit,-3,3042,1033158,8520,4.13793103448
2003,Florida Metropolitan University-Melbourne,Melbourne,FL,32935,Private For-Profit,33,820,1923185,7998,50.0
2003,University of Phoenix-Hawaii Campus,Honolulu,HI,96813-431,Private For-Profit,-3,1264,684199,9600,4.16666666667
2003,Virginia College-Birmingham,Birmingham,AL,35209-370,Private For-Profit,40,2016,6037783,10468,75.0
2003,University of Phoenix-Louisiana Campus,Metairie,LA,70001-208,Private For-Profit,-3,1893,1404226,7710,19.2307692308
2003,University of Phoenix-Metro Detroit Campus,Troy,MI,48098-262,Private For-Profit,-3,4104,1844839,9540,4.52488687783
2003,University of Phoenix-Central Florida Campus,Maitland,FL,32751-705,Private For-Profit,-3,6492,2482906,8430,2.77777777778
2003,Florida Gulf Coast University,Fort Myers,FL,33965-656,Public,21,3837,2381245,2628,37.0078740157
